78,perempuan,77,13.982,15.875,18.185,21.046,24.648,29.276,35.36
79,perempuan,78,14.087,15.998,18.333,21.227,24.877,29.572,35.757
80,perempuan,79,14.193,16.124,18.483,21.411,25.108,29.871,36.158
81,perempuan,80,14.301,16.25,18.635,21.598,25.343,30.176,36.568
82,perempuan,81,14.411,16.379,18.79,21.787,25.581,30.485,36.983
83,perempuan,82,14.522,16.51,18.947,21.98,25.823,30.799,37.406
84,perempuan,83,14.635,16.643,19.106,22.175,26.069,31.118,37.836
85,perempuan,84,14.75,16.779,19.268,22.374,26.32,31.443,38.274
86,perempuan,85,14.867,16.916,19.433,22.576,26.574,31.773,38.719
87,perempuan,86,14.987,17.056,19.601,22.782,26.832,32.109,39.171
88,perempuan,87,15.108,17.199,19.772,22.99,27.095,32.45,39.632
89,perempuan,88,15.231,17.343,19.945,23.202,27.362,32.796,40.099
90,perempuan,89,15.356,17.49,20.121,23.418,27.633,33.149,40.574
91,perempuan,90,15.483,17.639,20.299,23.637,27.908,33.507,41.058
92,perempuan,91,15.612,17.791,20.481,23.859,28.188,33.87,41.549
93,perempuan,92,15.744,17.946,20.666,24.085,28.472,34.239,42.048
94,perempuan,93,15.877,18.102,20.853,24.315,28.761,34.614,42.555
95,perempuan,94,16.013,18.262,21.044,24.548,29.054,34.996,43.072
96,perempuan,95,16.151,18.424,21.238,24.785,29.352,35.383,43.596
97,perempuan,96,16.291,18.588,21.435,25.026,29.655,35.776,44.128
98,perempuan,97,16.434,18.756,21.635,25.271,29.963,36.176,44.67
99,perempuan,98,16.579,18.926,21.838,25.52,30.275,36.582,45.22
100,perempuan,99,16.726,19.098,22.045,25.772,30.593,36.994,45.778
101,perempuan,100,16.875,19.274,22.254,26.028,30.914,37.412,46.343
102,perempuan,101,17.027,19.452,22.467,26.288,31.241,37.836,46.918
103,perempuan,102,17.181,19.632,22.683,26.552,31.572,38.265,47.499
104,perempuan,103,17.337,19.815,22.901,26.819,31.907,38.702,48.092
105,perempuan,104,17.495,20.001,23.123,27.09,32.247,39.142,48.688
106,perempuan,105,17.655,20.188,23.347,27.364,32.591,39.589,49.293
107,perempuan,106,17.817,20.378,23.574,27.641,32.939,40.041,49.906
108,perempuan,107,17.98,20.57,23.803,27.921,33.29,40.497,50.525
109,perempuan,108,18.146,20.764,24.035,28.204,33.645,40.958,51.149
110,perempuan,109,18.313,20.96,24.27,28.49,34.004,41.424,51.781
111,perempuan,110,18.482,21.158,24.506,28.779,34.367,41.895,52.419
112,perempuan,111,18.653,21.359,24.745,29.071,34.733,42.37,53.063
113,perempuan,112,18.825,21.561,24.987,29.366,35.104,42.851,53.714
114,perempuan,113,19,21.766,25.232,29.665,35.478,43.335,54.371
115,perempuan,114,19.176,21.973,25.479,29.966,35.856,43.826,55.035
116,perempuan,115,19.355,22.183,25.729,30.272,36.238,44.321,55.705
117,perempuan,116,19.536,22.395,25.982,30.58,36.625,44.823,56.385
118,perempuan,117,19.72,22.61,26.239,30.893,37.017,45.329,57.069
119,perempuan,118,19.906,22.828,26.499,31.21,37.414,45.843,57.764
120,perempuan,119,20.095,23.049,26.763,31.532,37.815,46.363,58.465
121,perempuan,120,20.286,23.274,27.031,31.858,38.223,46.89,59.177
122,Laki-Laki,0,2.1,2.5,2.9,3.3,3.9,4.4,5
123,Laki-Laki,1,2.9,3.4,3.9,4.5,5.1,5.8,6.6
124,Laki-Laki,2,3.8,4.3,4.9,5.6,6.3,7.1,8
125,Laki-Laki,3,4.4,5,5.7,6.4,7.2,8,9
126,Laki-Laki,4,4.9,5.6,6.2,7,7.8,8.7,9.7
127,Laki-Laki,5,5.3,6,6.7,7.5,8.4,9.3,10.4
128,Laki-Laki,6,5.7,6.4,7.1,7.9,8.8,9.8,10.9
129,Laki-Laki,7,5.9,6.7,7.4,8.3,9.2,10.3,11.4
130,Laki-Laki,8,6.2,6.9,7.7,8.6,9.6,10.7,11.9
131,Laki-Laki,9,6.4,7.1,8,8.9,9.9,11,12.3
132,Laki-Laki,10,6.6,7.4,8.2,9.2,10.2,11.4,12.7
133,Laki-Laki,11,6.8,7.6,8.4,9.4,10.5,11.7,13
134,Laki-Laki,12,6.9,7.7,8.6,9.6,10.8,12,13.3
135,Laki-Laki,13,7.1,7.9,8.8,9.9,11,12.3,13.7
136,Laki-Laki,14,7.2,8.1,9,10.1,11.3,12.6,14
137,Laki-Laki,15,7.4,8.3,9.2,10.3,11.5,12.8,14.3
138,Laki-Laki,16,7.5,8.4,9.4,10.5,11.7,13.1,14.6
139,Laki-Laki,17,7.7,8.6,9.6,10.7,12,13.4,14.9
140,Laki-Laki,18,7.8,8.8,9.8,10.9,12.2,13.7,15.3
141,Laki-Laki,19,8,8.9,10,11.1,12.5,13.9,15.6
142,Laki-Laki,20,8.1,9.1,10.1,11.3,12.7,14.2,15.9
143,Laki-Laki,21,8.2,9.2,10.3,11.5,12.9,14.5,16.2
